,method,observation_sequence,n_states,time,log_prob
20160,bw_only,0,12,0.0012452000519260764,-2.249340578475233
20161,ga_and_bw,0,12,0.8414852001005784,7.395570986446986e-32
20162,random_only,0,12,0.0005093000363558531,-15.207109358921803
20163,ga_only,0,12,0.838802499929443,-5.126851083998788
20164,bw_only,0,12,0.0012515999842435122,-1.3862943611198906
20165,ga_and_bw,0,12,0.8923395000165328,1.232595164407831e-31
20166,random_only,0,12,0.0006012000376358628,-14.153262940026236
20167,ga_only,0,12,0.886568299960345,-4.6575405709043665
20168,bw_only,0,12,0.001381100038997829,-1.3862943611198906
20169,ga_and_bw,0,12,0.8611582999583334,0.0
20170,random_only,0,12,0.0006698999786749482,-15.572057675486
20171,ga_only,0,12,0.8686352999648079,-4.742477274725794
20172,bw_only,0,12,0.0012773999478667974,0.0
20173,ga_and_bw,0,12,0.8508374999510124,7.395570986446986e-32
20174,random_only,0,12,0.0005028999876230955,-13.241139582044731
20175,ga_only,0,12,0.84322450007312,-4.239743060148984
20176,bw_only,0,12,0.001281399978324771,-1.3862943611198906
20177,ga_and_bw,0,12,0.8572861000429839,0.0
20178,random_only,0,12,0.0005014999769628048,-18.535966242468323
20179,ga_only,0,12,1.0499935999978334,-5.324913701091557
20180,bw_only,0,12,0.0013259999686852098,-2.772588722239781
20181,ga_and_bw,0,12,0.9833429000573233,2.220446049250315e-16
20182,random_only,0,12,0.0005302999634295702,-18.459250060033146
20183,ga_only,0,12,0.9618505999678746,-4.729545405545854
20184,bw_only,0,12,0.0013741999864578247,-2.249340578475233
20185,ga_and_bw,0,12,1.003341699950397,7.395570986446986e-32
20186,random_only,0,12,0.0005246000364422798,-11.310930096774978
20187,ga_only,0,12,0.8676411000778899,-5.119667363357543
20188,bw_only,0,12,0.0013816000428050756,-0.6592941486836289
20189,ga_and_bw,0,12,0.8461740999482572,2.220446049250314e-16
20190,random_only,0,12,0.0005453999619930983,-12.256603184547124
20191,ga_only,0,12,0.8451324000488967,-4.725776453791526
20192,bw_only,0,12,0.0013158000074326992,-2.772588722239811
20193,ga_and_bw,0,12,0.8531528000021353,0.0
20194,random_only,0,12,0.0005206000059843063,-13.149744379686666
20195,ga_only,0,12,0.840011699940078,-6.0613489874920035
20196,bw_only,0,12,0.001283499994315207,-2.249340578475233
20197,ga_and_bw,0,12,0.8467831000452861,-2.249340578475233
20198,random_only,0,12,0.0005448000738397241,-14.142463403450165
20199,ga_only,0,12,0.8418496999656782,-4.630757913013386
20200,bw_only,1,12,0.0014689000090584159,-1.3862943863089667
20201,ga_and_bw,1,12,0.7780332999536768,-1.3863699219107921
20202,random_only,1,12,0.0004773999098688364,-6.64192688436013
20203,ga_only,1,12,0.7863416000036523,-3.3949513459181366
20204,bw_only,1,12,0.0016685000155121088,-1.3862943611233205
20205,ga_and_bw,1,12,0.7789264000020921,-1.1102230246251563e-15
20206,random_only,1,12,0.0004456000169739127,-6.958241189205054
20207,ga_only,1,12,0.7752320000436157,-3.2860564857572445
20208,bw_only,1,12,0.0014937000814825296,-1.3863477221988514
20209,ga_and_bw,1,12,0.8152272999286652,-2.65121258280453e-13
20210,random_only,1,12,0.00048809999134391546,-7.8340581123464315
20211,ga_only,1,12,0.7847764999605715,-2.97264449417287
20212,bw_only,1,12,0.0014888000441715121,-1.3862943612496532
20213,ga_and_bw,1,12,0.9709498999873176,-1.3862917736869067
20214,random_only,1,12,0.0004771000239998102,-8.461494646427605
20215,ga_only,1,12,0.8950079999631271,-3.0457001822473204
20216,bw_only,1,12,0.0013855999568477273,-3.375966173275378e-12
20217,ga_and_bw,1,12,0.8836986999958754,-1.3863208008740409
20218,random_only,1,12,0.00047750002704560757,-8.360559537408477
20219,ga_only,1,12,0.8854085999773815,-3.5985422669284812
20220,bw_only,1,12,0.0014194999821484089,-1.4813705817518605e-11
20221,ga_and_bw,1,12,0.9088145999703556,-1.3862943615813028
20222,random_only,1,12,0.0005234999116510153,-7.5130955439378075
20223,ga_only,1,12,0.8819655000697821,-3.7102510393111143
20224,bw_only,1,12,0.001674200058914721,-1.3863231564421283
20225,ga_and_bw,1,12,0.8880112000042573,-1.3862974919783153
20226,random_only,1,12,0.0004719001008197665,-8.200286481747433
20227,ga_only,1,12,0.898351600044407,-3.525597205261723
20228,bw_only,1,12,0.001623300020582974,-3.234079670728562e-12
20229,ga_and_bw,1,12,0.8981706000631675,-1.3862954196617374
20230,random_only,1,12,0.0006325999274849892,-8.926398242223463
20231,ga_only,1,12,0.8874619000125676,-3.1316039189415266
20232,bw_only,1,12,0.0023129999171942472,-6.610711977806181e-12
20233,ga_and_bw,1,12,0.8829048000043258,-1.3862944035570743
20234,random_only,1,12,0.0005046000005677342,-7.163164544791819
20235,ga_only,1,12,0.8965266000013798,-3.06479732102174
20236,bw_only,1,12,0.0019960999488830566,-1.3862943613433965
20237,ga_and_bw,1,12,0.8998922000173479,-6.873229861708783e-07
20238,random_only,1,12,0.0005869000451639295,-8.175878583649647
20239,ga_only,1,12,0.88834720000159,-3.1994642472829664
20240,bw_only,1,12,0.001365399919450283,-5.830446109205061e-09
20241,ga_and_bw,1,12,0.8737025000154972,2.220446049250314e-16
20242,random_only,1,12,0.0005014999769628048,-8.267618168380508
20243,ga_only,1,12,0.8941921999212354,-3.329388449279218
20244,bw_only,1,12,0.0014954999787732959,-1.386294361119965
20245,ga_and_bw,1,12,0.8870873000705615,-1.3862943611198915
20246,random_only,1,12,0.0011139999842271209,-7.10070498968305
20247,ga_only,1,12,0.8851543000200763,-3.052984080272585
20248,bw_only,1,12,0.002151799970306456,-1.5647550427910968e-05
20249,ga_and_bw,1,12,0.8793139000190422,-1.2212453270876675e-14
20250,random_only,1,12,0.000515200081281364,-9.893961768678762
20251,ga_only,1,12,0.9041238999925554,-3.637264551680127
20252,bw_only,1,12,0.0014885000418871641,-1.7824373978926098
20253,ga_and_bw,1,12,0.9100427000084892,-1.3863117968264929
20254,random_only,1,12,0.0004789000377058983,-6.912264637416156
20255,ga_only,1,12,0.7775079000275582,-3.5337226148590553
20256,bw_only,1,12,0.0017776000313460827,-1.3862943611211698
