,method,observation_sequence,n_states,time,log_prob
314,random_only,8,9,0.0006913999677635729,-5.591478840381741
315,ga_only,8,9,1.490137400047388,-1.6372332721799492
316,bw_only,9,9,0.0014111000346019864,-11.412249020934256
317,ga_and_bw,9,9,1.6226556999608874,-4.1588830833596715
318,random_only,9,9,0.0009207999682985246,-36.286224865389805
319,ga_only,9,9,1.6944866999983788,-12.837722879595102
320,bw_only,0,10,0.002614900004118681,0.0
321,ga_and_bw,0,10,1.690564099990297,7.395570986446986e-32
322,random_only,0,10,0.0005959999980404973,-16.005479660392645
323,ga_only,0,10,1.7617180999950506,-4.76306026591062
324,bw_only,1,10,0.0013448999961838126,-1.386359384659587
325,ga_and_bw,1,10,1.6401880999910645,7.395570986446986e-32
326,random_only,1,10,0.0017529000178910792,-7.157425126375996
327,ga_only,1,10,1.5935585999977775,-3.3612140298749664
328,bw_only,2,10,0.0014439999940805137,-3.295836866004329
329,ga_and_bw,2,10,1.7212716999929398,-3.295836866004329
330,random_only,2,10,0.0005731999990530312,-22.23646600430168
331,ga_only,2,10,1.7222999999648891,-8.692449751681426
332,bw_only,3,10,0.0013663999852724373,-1.3862943611198906
333,ga_and_bw,3,10,1.6496747999917716,-1.3862943611198901
334,random_only,3,10,0.00048370001604780555,-7.708859625460182
335,ga_only,3,10,1.6402247999794781,-3.983572863009945
336,bw_only,4,10,0.0012855000095441937,-2.2204460492503128e-16
337,ga_and_bw,4,10,1.606713299988769,0.0
338,random_only,4,10,0.0005634999834001064,-15.192867401448659
339,ga_only,4,10,1.8949293000041507,-4.197648701410974
340,bw_only,5,10,0.0016135000041685998,1.9721522630525295e-31
341,ga_and_bw,5,10,1.7427886999794282,4.440892098500627e-16
342,random_only,5,10,0.0005458000232465565,-10.613592840524465
343,ga_only,5,10,1.6833326000487432,-1.6527442525459066
344,bw_only,6,10,0.0014882999821566045,-2.7725887222399073
345,ga_and_bw,6,10,1.6973589999834076,-1.2163953243245813
346,random_only,6,10,0.0004870999837294221,-13.529222331338259
347,ga_only,6,10,1.7023458000039682,-7.214216491062885
348,bw_only,7,10,0.0018118000007234514,-3.2958577869187895
349,ga_and_bw,7,10,1.6648568999953568,-1.3862943611199743
350,random_only,7,10,0.0005885999999009073,-29.861266586380722
351,ga_only,7,10,1.6517862000036985,-8.950340322869609
352,bw_only,8,10,0.0023845999967306852,2.2204460492503136e-16
353,ga_and_bw,8,10,1.5495037999935448,2.9582283945787943e-31
354,random_only,8,10,0.001098100037779659,-5.921347510908311
355,ga_only,8,10,1.5487273000180721,-1.763800868828703
356,bw_only,9,10,0.0010729000205174088,-9.295040985206485
357,ga_and_bw,9,10,1.7353283999837004,-2.772588722239781
358,random_only,9,10,0.0005721999914385378,-38.33722626778816
359,ga_only,9,10,1.6685981000191532,-12.257592173953364
360,bw_only,0,11,0.0014108999748714268,-1.3862943611198906
361,ga_and_bw,0,11,1.6757913999608718,1.4791141972893971e-31
362,random_only,0,11,0.00063109997427091,-23.164190088997373
363,ga_only,0,11,1.6995729000191204,-4.700616691346202
364,bw_only,1,11,0.0015780000248923898,-1.3863197953142528
365,ga_and_bw,1,11,1.6335956999682821,-2.2204460492503128e-16
366,random_only,1,11,0.000526999996509403,-7.444662101951568
367,ga_only,1,11,1.7126923999749124,-3.337594266527909
368,bw_only,2,11,0.0017105999868363142,-3.2958368660043296
369,ga_and_bw,2,11,1.7556127000134438,-1.3862943611198906
370,random_only,2,11,0.0010631000041030347,-18.89525362558495
371,ga_only,2,11,1.7631918999832124,-8.966793773280251
372,bw_only,3,11,0.001400899956934154,-1.3862890954910232
373,ga_and_bw,3,11,1.6660603999625891,-1.3862943611198908
374,random_only,3,11,0.0006280000088736415,-10.550401538219885
375,ga_only,3,11,1.6632554999669082,-3.899770845952008
376,bw_only,4,11,0.0014438999933190644,-1.984259422518361e-09
377,ga_and_bw,4,11,1.704702399962116,7.395570986446986e-32
378,random_only,4,11,0.0005955999949947,-11.644394640761712
379,ga_only,4,11,1.6763703000033274,-4.065136190376203
380,bw_only,5,11,0.0019361000158824027,4.440892098500627e-16
381,ga_and_bw,5,11,1.6712302999803796,-6.661338147750936e-16
382,random_only,5,11,0.0006349999457597733,-11.570403605904389
383,ga_only,5,11,1.6786766999866813,-2.3078606296153845
384,bw_only,6,11,0.0018914000247605145,-1.909542504887044
385,ga_and_bw,6,11,1.7323698999825865,-1.9071995508470452
386,random_only,6,11,0.0006063999608159065,-15.513351045083212
387,ga_only,6,11,1.6915185000398196,-7.280244491024702
388,bw_only,7,11,0.003319599956739694,-3.8190850098000895
389,ga_and_bw,7,11,1.7567960999440402,-1.3862943624931614
390,random_only,7,11,0.0007302999729290605,-27.176383530850632
391,ga_only,7,11,1.7335741000133567,-8.621430390316236
392,bw_only,8,11,0.0013937000185251236,7.395570986446986e-32
393,ga_and_bw,8,11,1.6730605000047944,-2.2204460492503114e-16
394,random_only,8,11,0.0005291000124998391,-6.415286940113212
395,ga_only,8,11,1.6264841999509372,-1.3655195386325376
396,bw_only,9,11,0.003431199991609901,-2.772588722239781
397,ga_and_bw,9,11,1.8412590000079945,-5.021929300715015
398,random_only,9,11,0.0006820999551564455,-28.18024164395866
399,ga_only,9,11,1.774849500041455,-12.423755397147529
400,bw_only,0,12,0.0015300000086426735,-2.249340578475233
401,ga_and_bw,0,12,1.9307263999944553,-1.3862943611198906
402,random_only,0,12,0.0006829999620094895,-15.363710838965655
403,ga_only,0,12,1.8158407000009902,-4.97641972269498
404,bw_only,1,12,0.0017278000013902783,-4.946354430985121e-09
405,ga_and_bw,1,12,1.715437099977862,-1.385761540769432
406,random_only,1,12,0.0006329999887384474,-6.749334695795427
407,ga_only,1,12,1.7665428000036627,-2.920955367641545
408,bw_only,2,12,0.0018804999999701977,-10.567106745194579
409,ga_and_bw,2,12,1.901273700001184,-1.3862943611198906
410,random_only,2,12,0.000645300024189055,-21.084180045413355
411,ga_only,2,12,1.8824508999823593,-8.084727587792266
412,bw_only,3,12,0.0016121999942697585,-1.3862943611198908
413,ga_and_bw,3,12,1.8018103999784216,0.0
414,random_only,3,12,0.0006711999885737896,-7.856997629337108
415,ga_only,3,12,1.8660317999892868,-3.8352041318958214
416,bw_only,4,12,0.0016058000037446618,-2.220446049250312e-16
417,ga_and_bw,4,12,1.8481763000017963,-4.4408920985006257e-16
418,random_only,4,12,0.0006498000002466142,-14.838389050682206
419,ga_only,4,12,1.7964673999813385,-4.561372133479782
420,bw_only,5,12,0.002082299964968115,0.0
421,ga_and_bw,5,12,1.7501696999534033,-2.2204460492503106e-16
422,random_only,5,12,0.0007123000104911625,-12.182152455399846
423,ga_only,5,12,1.8007351999985985,-2.0326495982507122
424,bw_only,6,12,0.0019339000573381782,-3.2958369012358526
425,ga_and_bw,6,12,1.8010633999947459,-3.2529534621511917e-13
426,random_only,6,12,0.000651500013191253,-16.750407790189183
427,ga_only,6,12,1.8429575000191107,-7.657228885097297
428,bw_only,7,12,0.0019757000263780355,-8.468924846949077e-08
429,ga_and_bw,7,12,1.825186699978076,-1.3862943611198906
430,random_only,7,12,0.0007921000360511243,-21.757739808026237
431,ga_only,7,12,1.84910160000436,-9.221307405590073
432,bw_only,8,12,0.0015963000478222966,-1.6266467853894537
433,ga_and_bw,8,12,1.8303351000067778,-4.440892098500624e-16
434,random_only,8,12,0.0006891000084578991,-5.98654200752863
435,ga_only,8,12,1.7566635999828577,-1.5423857543816164
436,bw_only,9,12,0.0020704000489786267,-7.977968093128685
437,ga_and_bw,9,12,1.9258845999720506,-2.772588722239781
438,random_only,9,12,0.0007408999954350293,-42.250556625523735
439,ga_only,9,12,1.9292494000401348,-13.703738961713851
440,bw_only,0,13,0.0017127000028267503,0.0
441,ga_and_bw,0,13,1.9644204000360332,2.2186712959340957e-31
442,random_only,0,13,0.0007478999905288219,-15.053586593743276
443,ga_only,0,13,1.8917536999797449,-4.099100786317511
444,bw_only,1,13,0.003947699966374785,-1.3862943643083194
445,ga_and_bw,1,13,1.9554380999761634,-1.3862943611199021
446,random_only,1,13,0.0006797999958507717,-8.05388027798483
447,ga_only,1,13,1.877036899968516,-3.416114078450143
448,bw_only,2,13,0.0021647000103257596,-1.3862943611198906
449,ga_and_bw,2,13,1.998165400000289,-3.2958369695888345
450,random_only,2,13,0.0007594000198878348,-18.6323951341818
451,ga_only,2,13,1.9388259000261314,-9.291046085396847
452,bw_only,3,13,0.0012237999471835792,-1.3862943611198908
453,ga_and_bw,3,13,1.9197375000221655,-1.2888101824823783
454,random_only,3,13,0.0011116999667137861,-8.537141772821126
455,ga_only,3,13,1.7878648999612778,-3.9253311784722107
456,bw_only,4,13,0.0018434000085107982,-1.2163953243304606
457,ga_and_bw,4,13,2.253985700022895,7.395570986446986e-32
458,random_only,4,13,0.0007612000335939229,-10.03003006466883
459,ga_only,4,13,2.030366499966476,-4.274424760439301
460,bw_only,5,13,0.001659700006712228,-4.4408920985006237e-16
461,ga_and_bw,5,13,2.1265884999884292,-2.2204460492503114e-16
462,random_only,5,13,0.0007696999819017947,-10.136205128583303
463,ga_only,5,13,1.9427058000001125,-1.8984566503226366
464,bw_only,6,13,0.0021913000382483006,-2.772588722239781
465,ga_and_bw,6,13,2.0157678999821655,-1.9095317448633533
466,random_only,6,13,0.0007437000167556107,-14.562469623465404
467,ga_only,6,13,1.9332001999719068,-8.262090471151405
468,bw_only,7,13,0.002098899974953383,-3.295836866004422
469,ga_and_bw,7,13,1.954133199993521,-2.2204460492503128e-16
